TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:28:26 AM;00:12:47.3640000;00:12:47.3933485;00:12:47.3933485;00:12:47.3933491;7674045230;240,240,240;undefined marker
5/12/2017 10:28:33 AM;00:12:53.5990000;00:12:53.6288427;00:12:53.6288430;00:12:53.6288433;7736378501;255,255,255;undefined marker
5/12/2017 10:28:33 AM;00:12:53.6310000;00:12:53.6599691;00:12:53.6599691;00:12:53.6599695;7736378501;187,187,187;infod22
5/12/2017 10:28:45 AM;00:13:05.8800000;00:13:05.9095683;00:13:05.9095683;00:13:05.9095687;7859045045;240,240,240;undefined marker
5/12/2017 10:28:46 AM;00:13:06.5300000;00:13:06.5597659;00:13:06.5597662;00:13:06.5597665;7865711705;186,186,186;da23
5/12/2017 10:28:58 AM;00:13:18.8810000;00:13:18.9114317;00:13:18.9114317;00:13:18.9114320;7989044915;255,255,255;undefined marker
5/12/2017 10:28:58 AM;00:13:18.9120000;00:13:18.9424868;00:13:18.9424868;00:13:18.9424871;7989378248;240,240,240;undefined marker
5/12/2017 10:28:59 AM;00:13:19.8140000;00:13:19.8445158;00:13:19.8445158;00:13:19.8445161;7998378239;255,255,255;undefined marker
5/12/2017 10:28:59 AM;00:13:19.8620000;00:13:19.8925114;00:13:19.8925114;00:13:19.8925117;7999044905;185,185,185;infod23
5/12/2017 10:29:11 AM;00:13:32.0950000;00:13:32.1255842;00:13:32.1255842;00:13:32.1255845;8121378116;240,240,240;undefined marker
5/12/2017 10:29:12 AM;00:13:32.7780000;00:13:32.8089104;00:13:32.8089104;00:13:32.8089107;8128044776;184,184,184;da24
5/12/2017 10:29:20 AM;00:13:41.1110000;00:13:41.1419103;00:13:41.1419103;00:13:41.1419106;8211378026;240,240,240;undefined marker
5/12/2017 10:29:31 AM;00:13:52.1770000;00:13:52.2083199;00:13:52.2083199;00:13:52.2083206;8322044582;183,183,183;infod24
